document,link,file_urls
PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100,True
PLP 18/2022,https://www25.senado.leg.br/web/atividade/materias/-/materia/153341,True
PLP 11/2020,https://www25.senado.leg.br/web/atividade/materias/-/materia/151606,True
PL 3626/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/160197,True
PL 2903/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/157888,True
PL 2253/2022,https://www25.senado.leg.br/web/atividade/materias/-/materia/154451,True
PL 4059/2021,https://www25.senado.leg.br/web/atividade/materias/-/materia/152805,True
PL 3846/2021,https://www25.senado.leg.br/web/atividade/materias/-/materia/151427,True
PL 2505/2021,https://www25.senado.leg.br/web/atividade/materias/-/materia/149081,True
PL 2108/2021,https://www25.senado.leg.br/web/atividade/materias/-/materia/148741,True
PL 5284/2020,https://www25.senado.leg.br/web/atividade/materias/-/materia/152257,True
PL 2630/2020,https://www25.senado.leg.br/web/atividade/materias/-/materia/141944,True
PL 1328/2020,https://www25.senado.leg.br/web/atividade/materias/-/materia/141368,True
PL 1304/2020,https://www25.senado.leg.br/web/atividade/materias/-/materia/141814,True
PL 1277/2020,https://www25.senado.leg.br/web/atividade/materias/-/materia/141354,True
PL 1166/2020,https://www25.senado.leg.br/web/atividade/materias/-/materia/141297,True
PL 827/2020,https://www25.senado.leg.br/web/atividade/materias/-/materia/148656,True
PL 3267/2019,https://www25.senado.leg.br/web/atividade/materias/-/materia/143258,True
PEC 72/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/161820,True
PEC 66/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/161307,True
PEC 45/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/160011,True
PEC 43/2022,https://www25.senado.leg.br/web/atividade/materias/-/materia/155501,True
PEC 42/2022,https://www25.senado.leg.br/web/atividade/materias/-/materia/155496,True
PEC 32/2022,https://www25.senado.leg.br/web/atividade/materias/-/materia/155248,True
PEC 32/2022 (fase 2),https://www25.senado.leg.br/web/atividade/materias/-/materia/155594,True
PEC 26/2022,https://www25.senado.leg.br/web/atividade/materias/-/materia/155131,True
PEC 15/2022,https://www25.senado.leg.br/web/atividade/materias/-/materia/153518,True
PEC 11/2022,https://www25.senado.leg.br/web/atividade/materias/-/materia/152936,True
PEC 9/2022,https://www25.senado.leg.br/web/atividade/materias/-/materia/152401,True
PEC 1/2022,https://www25.senado.leg.br/web/atividade/materias/-/materia/151585,True
PEC 47/2021,https://www25.senado.leg.br/web/atividade/materias/-/materia/151308,True
PEC 32/2021,https://www25.senado.leg.br/web/atividade/materias/-/materia/152091,True
PEC 28/2021,https://www25.senado.leg.br/web/atividade/materias/-/materia/149764,True
PEC 23/2021,https://www25.senado.leg.br/web/atividade/materias/-/materia/150731,True
PEC 18/2021,https://www25.senado.leg.br/web/atividade/materias/-/materia/148962,True
PEC 13/2021,https://www25.senado.leg.br/web/atividade/materias/-/materia/148543,True
PEC 10/2021,https://www25.senado.leg.br/web/atividade/materias/-/materia/151148,True
PEC 8/2021,https://www25.senado.leg.br/web/atividade/materias/-/materia/148030,True
PEC 4/2021,https://www25.senado.leg.br/web/atividade/materias/-/materia/147745,True
PEC 1/2021,https://www25.senado.leg.br/web/atividade/materias/-/materia/146407,True
PEC 29/2020,https://www25.senado.leg.br/web/atividade/materias/-/materia/144067,True
PEC 26/2020,https://www25.senado.leg.br/web/atividade/materias/-/materia/143611,True
PEC 18/2020,https://www25.senado.leg.br/web/atividade/materias/-/materia/142016,True
PEC 10/2020,https://www25.senado.leg.br/web/atividade/materias/-/materia/141443,True
PEC 162/2019,https://www25.senado.leg.br/web/atividade/materias/-/materia/154406,True
PEC 45/2019,https://www25.senado.leg.br/web/atividade/materias/-/materia/158930,True
PEC 17/2019 (fase 2),https://www25.senado.leg.br/web/atividade/materias/-/materia/149723,True
